element,index,name,converged,max_line_loading,max_trafo_loading,min_voltage,max_voltage,n_line_ovl,n_trafo_ovl,n_v_low,n_v_high,PI,critical
line,81,AL3,True,105.18162094466041,216.1225167188342,0.8297776164891165,1.0637096010426075,2,7,13,6,18.99104080699668,True
line,82,FL9,True,105.3838623765554,225.96756344831897,0.8182102386907527,1.0628092405044205,2,7,14,6,21.01371702186315,True
line,83,CL9,False,,,,,-1,-1,-1,-1,1000000.0,True
line,86,RL2,True,105.1918252327734,216.89936194837648,0.8285859283981434,1.06348944016147,2,7,13,5,19.176542512998818,True
line,89,CL3,True,110.87353251392919,285.7342235259792,0.821748656249134,1.056186628741552,2,9,14,2,23.365890189943293,True
trafo,0,FT63_T12,True,105.1772945828152,216.24385170700674,0.8295279186165702,1.0635419608148882,2,8,13,6,19.021691195844,True
trafo,1,YTTERFORSEN_G1_TRAFO,False,,,,,-1,-1,-1,-1,1000000.0,True
trafo,3,HÄLLAN_G4_TRAFO,True,105.17806745720553,216.08328627337053,0.8297771905970888,1.0634646043966305,2,7,13,4,18.976865588969428,True
trafo,4,RUTHUVUD_G1_TRAFO,True,105.1808049981416,216.41866308401822,0.8293712997191007,1.0635294427017477,2,9,13,6,19.0500613269305,True
trafo,6,CT11_T2,True,106.05560853187217,238.2419223146635,0.8282211525497876,1.0500596541139113,2,6,13,4,19.606277125456284,True
trafo,7,STUPET_G4_TRAFO,True,105.15031959458373,215.69096578692535,0.8298160721319747,1.063853685928156,2,6,13,6,18.973863247774272,True
trafo,8,FT47_T11,True,105.20315949595232,217.52590127909124,0.8277751951799449,1.0634520652209438,2,8,13,6,19.31354143996474,True
trafo,9,RUTHUVUD_G2_TRAFO,True,105.17424369509938,216.06542996189387,0.8297281621108988,1.063552184882222,2,7,13,8,18.987140748719987,True
trafo,10,STUPET_G3_TRAFO,True,105.15779654192761,215.79536325608385,0.8298057351287462,1.0637492849546883,2,6,13,5,18.974603748558057,True
trafo,11,FT44_T12,True,105.20301294207968,217.47506020887533,0.8288005865758546,1.0634525311661458,2,7,13,6,19.170492721759366,True
trafo,12,FT50_T402,True,105.18268001154361,216.42921059963146,0.8274456373316027,1.063520116416948,2,8,13,4,19.314425243726784,True
trafo,13,FT63_T11,True,105.17729458281504,216.2438517070026,0.8295279186165685,1.063541960814889,2,8,13,6,19.021691195844088,True
trafo,14,NORRSELE_G2_TRAFO,True,105.35351840499987,226.54911662846,0.8289017233511838,1.063056523445294,2,8,13,5,19.542684777025496,True
trafo,15,ATOMSBERG_G1_TRAFO,True,105.18975584717303,216.91057004759386,0.8293265293131793,1.0634995483690022,2,7,13,5,19.076158509096892,True
trafo,16,NORRSELE_G1_TRAFO,True,105.58998688923849,255.1401949633999,0.8277624666913695,1.0624016301945511,2,9,14,6,21.04846897419474,True
trafo,17,OLMÅFALLET_G1_TRAFO,True,105.17832555797884,216.10886127382827,0.8297668128784016,1.0649659509947067,2,6,13,5,19.056517123314578,True
trafo,18,BLOCKET_G2_TRAFO,True,105.27110077164605,220.71299450050245,0.8182644569240307,1.0632050607427672,2,8,14,5,20.788697988151014,True
trafo,19,RUTHUVUD_G3_TRAFO,True,105.17424369509956,216.06542996189808,0.8297281621108943,1.0635521848822218,2,7,13,7,18.987140748720783,True
trafo,21,FT47_T21,True,105.20315949595232,217.52590127908826,0.827775195179948,1.0634520652209427,2,8,13,6,19.313541439964126,True
trafo,22,CT31_T1,False,,,,,-1,-1,-1,-1,1000000.0,True
trafo,23,CT112_T401,True,118.60734523811513,211.36039151894832,0.830212246617478,1.0650333347592826,4,9,11,2,19.09697807618645,True
trafo,24,STUPET_G1_TRAFO,True,105.43045305577611,219.55842528997945,0.8294397619213056,1.0606772311642583,2,9,13,4,19.04115673282484,True
trafo,26,BLOCKET_G1_TRAFO,True,105.27110077164605,220.71299450050245,0.8182644569240307,1.0632050607427672,2,8,14,5,20.788697988151014,True
trafo,27,CT22_T401,True,93.86549303552194,222.74193559086703,0.8288380206337317,1.05785126370867,0,5,12,5,18.899746822664312,True
trafo,28,VATTENDRAGET_G1_TRAFO,True,105.20767836787437,216.5421297689466,0.8297362198660116,1.064356361919354,2,6,13,4,19.048513413246916,True
trafo,29,STORFORS_G1_TRAFO,True,93.87257918264532,222.84099146471874,0.8287766230084797,1.0571035605065784,0,6,14,5,18.878321440301566,True
trafo,32,HÄSTSJÖ_G2_TRAFO,True,105.18369353170405,216.549942351274,0.8287283745203183,1.0635192542861176,2,7,13,5,19.143214835537854,True
trafo,34,FT50_T401,True,105.18268001154357,216.4292105996307,0.8274456373316025,1.0635201164169485,2,8,13,4,19.314425243726802,True
trafo,35,STUPET_G2_TRAFO,True,105.31379244799383,217.9530844300308,0.8295959658566615,1.0619763770045965,2,8,13,5,19.01089665281028,True
trafo,36,CT11_T401,True,120.9147339287026,215.09153023356268,0.8299352577921456,1.058189821713027,4,7,12,6,19.011702683213567,True
trafo,37,CT31_T401,False,,,,,-1,-1,-1,-1,1000000.0,True
trafo,38,STORTRÄSK_G1_TRAFO,True,107.98474343597474,245.27775447409508,0.8269495736908572,1.0563215544327784,2,7,13,3,20.429615181278947,True
trafo,39,FT42_T402,True,105.18257229167864,216.4587671563074,0.8283284293650283,1.063522740372392,2,8,13,7,19.19428382275081,True
trafo,41,HÄSTSJÖ_G1_TRAFO,True,105.21549172352438,218.11368949311634,0.8259228499693085,1.063406468013177,2,8,13,4,19.593681863777796,True
trafo,42,HÄLLAN_G3_TRAFO,True,105.17806745720574,216.0832862733749,0.8297771905970845,1.0634646043966298,2,7,13,4,18.976865588970156,True
trafo,43,HÄLLAN_G1_TRAFO,True,105.18595358934432,216.20267856787035,0.8297649445091104,1.063316574884879,2,7,13,5,18.976353414497627,True
trafo,44,JAURAS_G1_TRAFO,True,105.18449289414464,216.18056674460132,0.8297672125851138,1.0633439839624759,2,7,13,6,18.976446384453613,True
trafo,45,NJAGGO_G1_TRAFO,False,,,,,-1,-1,-1,-1,1000000.0,True
trafo,46,FT44_T13,True,105.20301294208014,217.4750602088897,0.8288005865758471,1.0634525311661445,2,7,13,8,19.17049272176097,True
trafo,47,FT44_T11,False,,,,,-1,-1,-1,-1,1000000.0,True
trafo,48,CT11_T1,True,105.36787902683014,219.2470180259791,0.8294339093551907,1.05827570556297,2,7,13,4,18.912704139075757,True
trafo,49,DALBO_G1_TRAFO,True,106.0394895798882,259.387345947814,0.8147324134750689,1.0606590592226217,2,9,14,4,23.05405689183994,True
trafo,51,FT42_T401,True,105.18257229167878,216.45876715631024,0.828328429365027,1.0635227403723917,2,8,13,5,19.19428382275109,True
trafo,52,HÄLLAN_G2_TRAFO,True,105.18595358934397,216.20267856786367,0.8297649445091104,1.0633165748848803,2,7,13,5,18.976353414497396,True
